"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at","updated_by"
"65","1","30k-40k","architecture","lod200","0.546","""2025-10-13T19:48:59.300Z""",
"66","1","30k-40k","architecture","lod300","0.748","""2025-10-13T19:48:59.300Z""",
"67","1","30k-40k","architecture","lod350","0.952","""2025-10-13T19:48:59.300Z""",
"68","1","30k-40k","architecture","lod350plus","1.099","""2025-10-13T19:48:59.300Z""",
"69","1","30k-40k","structure","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"70","1","30k-40k","structure","lod300","0.070","""2025-10-13T19:48:59.300Z""",
"71","1","30k-40k","structure","lod350","0.080","""2025-10-13T19:48:59.300Z""",
"72","1","30k-40k","structure","lod350plus","0.100","""2025-10-13T19:48:59.300Z""",
"73","1","30k-40k","mepf","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"74","1","30k-40k","mepf","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"75","1","30k-40k","mepf","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"76","1","30k-40k","mepf","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"77","1","30k-40k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"78","1","30k-40k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"79","1","30k-40k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"80","1","30k-40k","site","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"81","1","40k-50k","architecture","lod200","0.518","""2025-10-13T19:48:59.300Z""",
"82","1","40k-50k","architecture","lod300","0.719","""2025-10-13T19:48:59.300Z""",
"83","1","40k-50k","architecture","lod350","0.920","""2025-10-13T19:48:59.300Z""",
"84","1","40k-50k","architecture","lod350plus","1.062","""2025-10-13T19:48:59.300Z""",
"85","1","40k-50k","structure","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"86","1","40k-50k","structure","lod300","0.060","""2025-10-13T19:48:59.300Z""",
"87","1","40k-50k","structure","lod350","0.070","""2025-10-13T19:48:59.300Z""",
"88","1","40k-50k","structure","lod350plus","0.090","""2025-10-13T19:48:59.300Z""",
"89","1","40k-50k","mepf","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"90","1","40k-50k","mepf","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"91","1","40k-50k","mepf","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"92","1","40k-50k","mepf","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"93","1","40k-50k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"94","1","40k-50k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"95","1","40k-50k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"96","1","40k-50k","site","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"97","1","50k-75k","architecture","lod200","0.431","""2025-10-13T19:48:59.300Z""",
"98","1","50k-75k","architecture","lod300","0.661","""2025-10-13T19:48:59.300Z""",
"99","1","50k-75k","architecture","lod350","0.756","""2025-10-13T19:48:59.300Z""",
"100","1","50k-75k","architecture","lod350plus","0.874","""2025-10-13T19:48:59.300Z""",
"101","1","50k-75k","structure","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"102","1","50k-75k","structure","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"103","1","50k-75k","structure","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"104","1","50k-75k","structure","lod350plus","0.080","""2025-10-13T19:48:59.300Z""",
"105","1","50k-75k","mepf","lod200","0.030","""2025-10-13T19:48:59.300Z""",
"106","1","50k-75k","mepf","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"107","1","50k-75k","mepf","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"108","1","50k-75k","mepf","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"109","1","50k-75k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"110","1","50k-75k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"111","1","50k-75k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"112","1","50k-75k","site","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"113","1","75k-100k","architecture","lod200","0.316","""2025-10-13T19:48:59.300Z""",
"114","1","75k-100k","architecture","lod300","0.489","""2025-10-13T19:48:59.300Z""",
"115","1","75k-100k","architecture","lod350","0.635","""2025-10-13T19:48:59.300Z""",
"116","1","75k-100k","architecture","lod350plus","0.735","""2025-10-13T19:48:59.300Z""",
"117","1","75k-100k","structure","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"118","1","75k-100k","structure","lod300","0.040","""2025-10-13T19:48:59.300Z""",
"119","1","75k-100k","structure","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"120","1","75k-100k","structure","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"121","1","75k-100k","mepf","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"122","1","75k-100k","mepf","lod300","0.040","""2025-10-13T19:48:59.300Z""",
"123","1","75k-100k","mepf","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"124","1","75k-100k","mepf","lod350plus","0.060","""2025-10-13T19:48:59.300Z""",
"125","1","75k-100k","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"126","1","75k-100k","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"127","1","75k-100k","site","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"128","1","75k-100k","site","lod350plus","0.070","""2025-10-13T19:48:59.300Z""",
"129","1","100k+","architecture","lod200","0.230","""2025-10-13T19:48:59.300Z""",
"130","1","100k+","architecture","lod300","0.345","""2025-10-13T19:48:59.300Z""",
"131","1","100k+","architecture","lod350","0.424","""2025-10-13T19:48:59.300Z""",
"132","1","100k+","architecture","lod350plus","0.492","""2025-10-13T19:48:59.300Z""",
"133","1","100k+","structure","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"134","1","100k+","structure","lod300","0.030","""2025-10-13T19:48:59.300Z""",
"135","1","100k+","structure","lod350","0.040","""2025-10-13T19:48:59.300Z""",
"136","1","100k+","structure","lod350plus","0.060","""2025-10-13T19:48:59.300Z""",
"137","1","100k+","mepf","lod200","0.020","""2025-10-13T19:48:59.300Z""",
"138","1","100k+","mepf","lod300","0.030","""2025-10-13T19:48:59.300Z""",
"139","1","100k+","mepf","lod350","0.040","""2025-10-13T19:48:59.300Z""",
"140","1","100k+","mepf","lod350plus","0.050","""2025-10-13T19:48:59.300Z""",
"141","1","100k+","site","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"142","1","100k+","site","lod300","0.050","""2025-10-13T19:48:59.300Z""",
"143","1","100k+","site","lod350","0.050","""2025-10-13T19:48:59.300Z""",
"144","1","100k+","site","lod350plus","0.060","""2025-10-13T19:48:59.300Z""",
"145","2","0-5k","architecture","lod200","0.828","""2025-10-13T19:48:59.300Z""",
"146","2","0-5k","architecture","lod300","1.104","""2025-10-13T19:48:59.300Z""",
"147","2","0-5k","architecture","lod350","1.428","""2025-10-13T19:48:59.300Z""",
"148","2","0-5k","architecture","lod350plus","1.711","""2025-10-13T19:48:59.300Z""",
"149","2","0-5k","structure","lod200","0.120","""2025-10-13T19:48:59.300Z""",
"150","2","0-5k","structure","lod300","0.180","""2025-10-13T19:48:59.300Z""",
"151","2","0-5k","structure","lod350","0.210","""2025-10-13T19:48:59.300Z""",
"152","2","0-5k","structure","lod350plus","0.240","""2025-10-13T19:48:59.300Z""",
"153","2","0-5k","mepf","lod200","0.075","""2025-10-13T19:48:59.300Z""",
"154","2","0-5k","mepf","lod300","0.105","""2025-10-13T19:48:59.300Z""",
"155","2","0-5k","mepf","lod350","0.120","""2025-10-13T19:48:59.300Z""",
"156","2","0-5k","mepf","lod350plus","0.135","""2025-10-13T19:48:59.300Z""",
"157","2","0-5k","site","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"158","2","0-5k","site","lod300","0.072","""2025-10-13T19:48:59.300Z""",
"159","2","0-5k","site","lod350","0.090","""2025-10-13T19:48:59.300Z""",
"160","2","0-5k","site","lod350plus","0.120","""2025-10-13T19:48:59.300Z""",
"161","2","5k-10k","architecture","lod200","0.725","""2025-10-13T19:48:59.300Z""",
"162","2","5k-10k","architecture","lod300","0.977","""2025-10-13T19:48:59.300Z""",
"163","2","5k-10k","architecture","lod350","1.235","""2025-10-13T19:48:59.300Z""",
"164","2","5k-10k","architecture","lod350plus","1.481","""2025-10-13T19:48:59.300Z""",
"165","2","5k-10k","structure","lod200","0.105","""2025-10-13T19:48:59.300Z""",
"166","2","5k-10k","structure","lod300","0.165","""2025-10-13T19:48:59.300Z""",
"167","2","5k-10k","structure","lod350","0.180","""2025-10-13T19:48:59.300Z""",
"168","2","5k-10k","structure","lod350plus","0.210","""2025-10-13T19:48:59.300Z""",
"169","2","5k-10k","mepf","lod200","0.075","""2025-10-13T19:48:59.300Z""",
"170","2","5k-10k","mepf","lod300","0.105","""2025-10-13T19:48:59.300Z""",
"171","2","5k-10k","mepf","lod350","0.120","""2025-10-13T19:48:59.300Z""",
"172","2","5k-10k","mepf","lod350plus","0.135","""2025-10-13T19:48:59.300Z""",
"173","2","5k-10k","site","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"174","2","5k-10k","site","lod300","0.072","""2025-10-13T19:48:59.300Z""",
"175","2","5k-10k","site","lod350","0.090","""2025-10-13T19:48:59.300Z""",
"176","2","5k-10k","site","lod350plus","0.120","""2025-10-13T19:48:59.300Z""",
"177","2","10k-20k","architecture","lod200","0.633","""2025-10-13T19:48:59.300Z""",
"178","2","10k-20k","architecture","lod300","0.863","""2025-10-13T19:48:59.300Z""",
"179","2","10k-20k","architecture","lod350","1.093","""2025-10-13T19:48:59.300Z""",
"180","2","10k-20k","architecture","lod350plus","1.311","""2025-10-13T19:48:59.300Z""",
