"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at"
"65","1","30k-40k","architecture","lod200","0.095","""2025-10-22T14:14:40.564Z"""
"66","1","30k-40k","architecture","lod300","0.130","""2025-10-22T14:14:40.564Z"""
"67","1","30k-40k","architecture","lod350","0.166","""2025-10-22T14:14:40.564Z"""
"68","1","30k-40k","architecture","lod350plus","0.191","""2025-10-22T14:14:40.564Z"""
"69","1","30k-40k","structure","lod200","0.015","""2025-10-22T14:14:40.564Z"""
"70","1","30k-40k","structure","lod300","0.035","""2025-10-22T14:14:40.564Z"""
"71","1","30k-40k","structure","lod350","0.040","""2025-10-22T14:14:40.564Z"""
"72","1","30k-40k","structure","lod350plus","0.050","""2025-10-22T14:14:40.564Z"""
"73","1","30k-40k","mepf","lod200","0.015","""2025-10-22T14:14:40.564Z"""
"74","1","30k-40k","mepf","lod300","0.025","""2025-10-22T14:14:40.564Z"""
"75","1","30k-40k","mepf","lod350","0.030","""2025-10-22T14:14:40.564Z"""
"76","1","30k-40k","mepf","lod350plus","0.035","""2025-10-22T14:14:40.564Z"""
"77","1","30k-40k","site","lod200","0.010","""2025-10-22T14:14:40.564Z"""
"78","1","30k-40k","site","lod300","0.010","""2025-10-22T14:14:40.564Z"""
"79","1","30k-40k","site","lod350","0.012","""2025-10-22T14:14:40.564Z"""
"80","1","30k-40k","site","lod350plus","0.016","""2025-10-22T14:14:40.564Z"""
"81","1","40k-50k","architecture","lod200","0.090","""2025-10-22T14:14:40.564Z"""
"82","1","40k-50k","architecture","lod300","0.125","""2025-10-22T14:14:40.564Z"""
"83","1","40k-50k","architecture","lod350","0.160","""2025-10-22T14:14:40.564Z"""
"84","1","40k-50k","architecture","lod350plus","0.185","""2025-10-22T14:14:40.564Z"""
"85","1","40k-50k","structure","lod200","0.015","""2025-10-22T14:14:40.564Z"""
"86","1","40k-50k","structure","lod300","0.030","""2025-10-22T14:14:40.564Z"""
"87","1","40k-50k","structure","lod350","0.035","""2025-10-22T14:14:40.564Z"""
"88","1","40k-50k","structure","lod350plus","0.045","""2025-10-22T14:14:40.564Z"""
"89","1","40k-50k","mepf","lod200","0.015","""2025-10-22T14:14:40.564Z"""
"90","1","40k-50k","mepf","lod300","0.025","""2025-10-22T14:14:40.564Z"""
"91","1","40k-50k","mepf","lod350","0.030","""2025-10-22T14:14:40.564Z"""
